OrderID,Date,Product,Category,UnitPrice,Quantity,Revenue,Region,Salesperson,CustomerID
O100000,2025-07-31,Theta Watch,Electronics,11.07,1,11.07,South,Dina,C6456
O100001,2025-02-11,Zeta Socks,Accessories,195.17,2,390.34,West,Dina,C6926
O100002,2024-12-02,Alpha Hoodie,Apparel,162.63,1,162.63,East,Dina,C3934
O100003,2025-06-16,Epsilon Jacket,Apparel,171.06,5,855.3,Central,Ayesha,C9323
O100004,2024-12-31,Alpha Hoodie,Apparel,135.89,3,407.67,West,Carlos,C5311
O100005,2025-01-13,Eta Laptop Sleeve,Accessories,177.62,1,177.62,East,Ehsan,C8993
O100006,2025-04-03,Delta Cap,Accessories,114.2,1,114.2,North,Carlos,C9806
O100007,2025-01-30,Epsilon Jacket,Apparel,139.38,2,278.76,Central,Fatima,C6273
O100008,2025-03-12,Zeta Socks,Accessories,45.69,1,45.69,Central,Fatima,C3229
O100009,2025-05-25,Delta Cap,Accessories,149.32,1,149.32,North,Ehsan,C3619
O100010,2025-03-22,Gamma Sneakers,Footwear,222.01,1,222.01,North,Dina,C3606
O100011,2025-04-09,Kappa Backpack,Accessories,49.46,1,49.46,East,Ehsan,C7354
O100012,2025-05-02,Zeta Socks,Accessories,150.4,5,752.0,East,Fatima,C1184
O100013,2025-03-09,Alpha Hoodie,Apparel,114.32,1,114.32,East,Bilal,C1450
O100014,2025-05-27,Beta T-shirt,Apparel,232.61,1,232.61,East,Ehsan,C8975
O100015,2025-09-18,Beta T-shirt,Apparel,129.47,2,258.94,West,Carlos,C3689
O100016,2025-07-16,Iota Charger,Electronics,199.77,1,199.77,East,Fatima,C1137
O100017,2025-01-15,Gamma Sneakers,Footwear,142.2,1,142.2,West,Carlos,C4219
O100018,2025-05-13,Delta Cap,Accessories,17.22,1,17.22,West,Ehsan,C9264
O100019,2025-11-07,Theta Watch,Electronics,27.98,1,27.98,Central,Bilal,C7640
O100020,2025-06-09,Zeta Socks,Accessories,115.43,2,230.86,North,Bilal,C3647
O100021,2025-05-29,Beta T-shirt,Apparel,55.61,5,278.05,South,Fatima,C8090
O100022,2025-07-07,Delta Cap,Accessories,161.37,5,806.85,North,Carlos,C7877
O100023,2025-01-11,Delta Cap,Accessories,81.96,1,81.96,South,Bilal,C4442
O100024,2025-05-13,Zeta Socks,Accessories,245.81,1,245.81,Central,Ayesha,C7956
O100025,2025-10-18,Theta Watch,Electronics,28.08,1,28.08,North,Ayesha,C4369
O100026,2025-10-21,Alpha Hoodie,Apparel,148.82,1,148.82,North,Ayesha,C7483
O100027,2024-12-23,Theta Watch,Electronics,52.66,1,52.66,South,Bilal,C6795
O100028,2025-01-03,Theta Watch,Electronics,54.68,2,109.36,East,Bilal,C8403
O100029,2025-10-30,Theta Watch,Electronics,120.91,1,120.91,East,Dina,C9783
O100030,2025-11-06,Kappa Backpack,Accessories,122.42,1,122.42,North,Ayesha,C9046
O100031,2025-03-27,Eta Laptop Sleeve,Accessories,243.77,1,243.77,West,Carlos,C3645
O100032,2025-07-06,Zeta Socks,Accessories,183.07,3,549.21,West,Carlos,C4750
O100033,2025-07-13,Delta Cap,Accessories,215.9,1,215.9,West,Ayesha,C9731
O100034,2025-04-11,Gamma Sneakers,Footwear,58.69,2,117.38,East,Ehsan,C7268
O100035,2025-10-23,Kappa Backpack,Accessories,232.01,3,696.03,North,Fatima,C4076
O100036,2025-02-09,Delta Cap,Accessories,222.93,1,222.93,South,Ehsan,C6218
O100037,2024-12-22,Kappa Backpack,Accessories,68.33,4,273.32,Central,Fatima,C3461
O100038,2025-08-01,Alpha Hoodie,Apparel,197.72,10,1977.2,North,Fatima,C8250
O100039,2025-06-03,Alpha Hoodie,Apparel,50.57,2,101.14,Central,Dina,C7584
O100040,2025-08-24,Epsilon Jacket,Apparel,230.78,1,230.78,North,Ehsan,C2679
O100041,2025-07-09,Beta T-shirt,Apparel,171.43,5,857.15,North,Ayesha,C4495
O100042,2025-06-26,Gamma Sneakers,Footwear,247.53,3,742.59,South,Carlos,C6714
O100043,2025-11-16,Beta T-shirt,Apparel,124.64,1,124.64,West,Fatima,C8123
O100044,2025-06-29,Iota Charger,Electronics,78.19,4,312.76,West,Ehsan,C6714
O100045,2025-04-04,Theta Watch,Electronics,41.17,1,41.17,North,Carlos,C6575
O100046,2025-01-18,Iota Charger,Electronics,103.19,1,103.19,Central,Fatima,C6374
