OrderID,Date,Product,Category,UnitPrice,Quantity,Revenue,Region,Salesperson,CustomerID
O100000,2025-02-06,Iota Charger,Electronics,100.61,1,100.61,North,Ayesha,C6679
O100001,2025-04-12,Eta Laptop Sleeve,Accessories,199.88,1,199.88,East,Fatima,C2038
O100002,2025-08-13,Iota Charger,Electronics,161.04,1,161.04,West,Ehsan,C9955
O100003,2025-11-08,Theta Watch,Electronics,52.11,1,52.11,East,Ehsan,C8157
O100004,2025-09-13,Iota Charger,Electronics,85.06,1,85.06,South,Fatima,C1756
O100005,2025-01-30,Zeta Socks,Accessories,181.9,1,181.9,West,Carlos,C1742
O100006,2024-12-09,Eta Laptop Sleeve,Accessories,133.71,1,133.71,North,Ayesha,C1868
O100007,2025-09-26,Epsilon Jacket,Apparel,142.28,1,142.28,West,Dina,C2715
O100008,2025-03-26,Beta T-shirt,Apparel,26.43,4,105.72,North,Ayesha,C2465
O100009,2025-06-14,Kappa Backpack,Accessories,147.19,1,147.19,Central,Ehsan,C7128
O100010,2025-10-14,Gamma Sneakers,Footwear,21.44,1,21.44,Central,Dina,C3397
O100011,2025-09-26,Kappa Backpack,Accessories,213.01,4,852.04,Central,Carlos,C6861
O100012,2025-05-21,Gamma Sneakers,Footwear,54.76,1,54.76,West,Fatima,C9000
O100013,2025-06-14,Epsilon Jacket,Apparel,145.35,1,145.35,Central,Carlos,C4845
O100014,2025-06-06,Alpha Hoodie,Apparel,242.98,1,242.98,North,Bilal,C4555
O100015,2025-02-12,Theta Watch,Electronics,185.04,1,185.04,East,Dina,C1313
O100016,2025-03-24,Iota Charger,Electronics,244.13,10,2441.3,South,Ayesha,C8091
O100017,2025-03-19,Gamma Sneakers,Footwear,193.65,1,193.65,North,Carlos,C9190
O100018,2025-11-26,Iota Charger,Electronics,82.2,2,164.4,Central,Ayesha,C4214
O100019,2025-04-13,Eta Laptop Sleeve,Accessories,224.93,1,224.93,South,Ehsan,C6940
O100020,2025-04-04,Gamma Sneakers,Footwear,66.3,2,132.6,Central,Dina,C6465
O100021,2025-08-13,Beta T-shirt,Apparel,81.61,4,326.44,East,Dina,C6157
O100022,2025-09-05,Eta Laptop Sleeve,Accessories,178.5,5,892.5,Central,Ehsan,C3118
O100023,2025-11-13,Zeta Socks,Accessories,67.76,1,67.76,West,Ehsan,C4168
O100024,2025-06-11,Kappa Backpack,Accessories,124.97,3,374.91,South,Carlos,C1245
O100025,2025-07-20,Kappa Backpack,Accessories,15.62,1,15.62,South,Ayesha,C7986
O100026,2025-10-06,Alpha Hoodie,Apparel,140.07,1,140.07,East,Dina,C5663
O100027,2025-08-10,Alpha Hoodie,Apparel,163.33,1,163.33,West,Fatima,C2737
O100028,2025-09-02,Theta Watch,Electronics,78.93,3,236.79,South,Ayesha,C2414
O100029,2025-10-23,Iota Charger,Electronics,217.91,5,1089.55,Central,Dina,C4753
O100030,2025-07-11,Epsilon Jacket,Apparel,230.9,1,230.9,West,Carlos,C8291
O100031,2025-11-01,Delta Cap,Accessories,67.27,4,269.08,North,Fatima,C7954
O100032,2025-07-07,Alpha Hoodie,Apparel,192.25,5,961.25,West,Dina,C8455
O100033,2025-04-23,Gamma Sneakers,Footwear,118.26,1,118.26,East,Dina,C8510
O100034,2025-07-20,Epsilon Jacket,Apparel,241.99,1,241.99,South,Fatima,C5598
O100035,2025-10-28,Delta Cap,Accessories,69.27,1,69.27,West,Fatima,C7834
O100036,2025-03-14,Alpha Hoodie,Apparel,190.26,1,190.26,North,Ayesha,C8402
O100037,2024-12-30,Alpha Hoodie,Apparel,10.52,1,10.52,South,Carlos,C2673
O100038,2025-11-24,Alpha Hoodie,Apparel,175.93,2,351.86,North,Dina,C8572
O100039,2024-12-03,Theta Watch,Electronics,202.78,1,202.78,West,Carlos,C3207
O100040,2025-09-06,Gamma Sneakers,Footwear,96.19,1,96.19,West,Ayesha,C9324
O100041,2025-10-16,Kappa Backpack,Accessories,117.51,5,587.55,West,Carlos,C3265
O100042,2025-02-13,Zeta Socks,Accessories,68.65,1,68.65,East,Fatima,C1935
O100043,2025-08-24,Beta T-shirt,Apparel,14.83,1,14.83,East,Dina,C7481
O100044,2025-03-14,Delta Cap,Accessories,53.99,1,53.99,South,Ehsan,C6688
O100045,2025-11-30,Kappa Backpack,Accessories,68.36,1,68.36,North,Dina,C6279
O100046,2025-01-30,Gamma Sneakers,Footwear,42.36,1,42.36,South,Ayesha,C4329
O100047,2025-09-08,Gamma Sneakers,Footwear,55.14,1,55.14,East,Dina,C2984
O100048,2025-04-12,Beta T-shirt,Apparel,204.32,1,204.32,West,Carlos,C3006
O100049,2025-04-23,Epsilon Jacket,Apparel,165.95,1,165.95,West,Dina,C4667
O100050,2025-02-25,Beta T-shirt,Apparel,48.15,1,48.15,South,Ayesha,C5959
O100051,2025-09-23,Iota Charger,Electronics,177.59,1,177.59,West,Carlos,C5623
O100052,2025-11-24,Gamma Sneakers,Footwear,76.73,1,76.73,South,Fatima,C5991
O100053,2025-04-15,Gamma Sneakers,Footwear,141.7,1,141.7,Central,Fatima,C7111
O100054,2025-03-10,Iota Charger,Electronics,70.32,1,70.32,West,Ayesha,C3068
O100055,2025-09-21,Zeta Socks,Accessories,243.54,2,487.08,South,Carlos,C8281
O100056,2024-12-13,Zeta Socks,Accessories,84.38,1,84.38,South,Bilal,C9750
O100057,2025-02-03,Zeta Socks,Accessories,164.16,3,492.48,Central,Ehsan,C6520
O100058,2025-09-25,Epsilon Jacket,Apparel,243.56,4,974.24,North,Dina,C7824
O100059,2025-06-10,Iota Charger,Electronics,8.62,1,8.62,West,Carlos,C3066
O100060,2025-10-12,Gamma Sneakers,Footwear,150.3,2,300.6,South,Ehsan,C2553
O100061,2025-10-27,Epsilon Jacket,Apparel,119.55,1,119.55,South,Ayesha,C1287
O100062,2025-10-15,Zeta Socks,Accessories,16.59,3,49.77,Central,Bilal,C5794
O100063,2025-10-27,Iota Charger,Electronics,151.51,3,454.53,East,Ehsan,C9646
O100064,2025-10-22,Eta Laptop Sleeve,Accessories,19.23,3,57.69,South,Dina,C4084
O100065,2025-05-04,Delta Cap,Accessories,32.15,1,32.15,South,Carlos,C4796
O100066,2025-04-13,Eta Laptop Sleeve,Accessories,53.42,1,53.42,North,Dina,C6986
O100067,2025-05-11,Eta Laptop Sleeve,Accessories,46.6,1,46.6,East,Ayesha,C8539
O100068,2025-11-25,Kappa Backpack,Accessories,164.64,1,164.64,Central,Ayesha,C5842
O100069,2025-07-15,Beta T-shirt,Apparel,113.38,4,453.52,North,Ehsan,C6331
O100070,2025-08-04,Gamma Sneakers,Footwear,24.05,1,24.05,West,Fatima,C8327
O100071,2025-10-27,Kappa Backpack,Accessories,13.29,3,39.87,Central,Carlos,C6426
O100072,2025-01-04,Kappa Backpack,Accessories,33.45,1,33.45,North,Carlos,C7274
O100073,2025-02-16,Beta T-shirt,Apparel,172.4,2,344.8,South,Bilal,C7690
O100074,2025-03-23,Delta Cap,Accessories,21.62,1,21.62,South,Ehsan,C4210
O100075,2025-02-13,Gamma Sneakers,Footwear,47.67,3,143.01,West,Fatima,C9768
O100076,2025-03-09,Alpha Hoodie,Apparel,9.46,3,28.38,East,Ehsan,C7862
O100077,2025-11-18,Gamma Sneakers,Footwear,62.81,1,62.81,Central,Carlos,C4756
O100078,2024-12-24,Beta T-shirt,Apparel,173.24,5,866.2,North,Bilal,C6908
O100079,2025-06-28,Theta Watch,Electronics,26.95,1,26.95,West,Dina,C5328
O100080,2025-01-25,Gamma Sneakers,Footwear,151.79,1,151.79,East,Ehsan,C2561
O100081,2025-07-12,Delta Cap,Accessories,171.18,1,171.18,South,Ayesha,C3407
O100082,2025-04-04,Alpha Hoodie,Apparel,40.09,1,40.09,South,Dina,C3466
O100083,2025-09-26,Theta Watch,Electronics,207.01,3,621.03,South,Ayesha,C1067
O100084,2025-01-05,Alpha Hoodie,Apparel,180.41,2,360.82,South,Dina,C6956
O100085,2025-04-07,Theta Watch,Electronics,159.44,1,159.44,West,Ehsan,C3161
O100086,2025-01-10,Beta T-shirt,Apparel,32.89,3,98.67,East,Bilal,C1803
O100087,2025-02-26,Eta Laptop Sleeve,Accessories,53.5,1,53.5,South,Fatima,C8213
O100088,2025-11-12,Epsilon Jacket,Apparel,106.16,1,106.16,North,Fatima,C8812
O100089,2025-11-08,Delta Cap,Accessories,8.46,1,8.46,North,Ayesha,C3779
O100090,2025-11-01,Zeta Socks,Accessories,181.14,1,181.14,East,Dina,C9158
O100091,2025-06-04,Gamma Sneakers,Footwear,110.38,1,110.38,East,Bilal,C3787
O100092,2025-10-25,Eta Laptop Sleeve,Accessories,174.53,4,698.12,North,Fatima,C6634
O100093,2025-03-20,Eta Laptop Sleeve,Accessories,80.57,1,80.57,Central,Carlos,C4867
O100094,2025-07-14,Iota Charger,Electronics,80.96,1,80.96,East,Fatima,C6160
O100095,2025-03-13,Zeta Socks,Accessories,24.46,4,97.84,South,Fatima,C5586
O100096,2025-01-01,Eta Laptop Sleeve,Accessories,205.57,1,205.57,West,Dina,C8801
O100097,2025-09-27,Theta Watch,Electronics,84.18,2,168.36,South,Carlos,C6247
O100098,2025-05-16,Gamma Sneakers,Footwear,100.97,2,201.94,South,Carlos,C9343
O100099,2025-04-27,Theta Watch,Electronics,243.53,1,243.53,South,Ayesha,C5640
O100100,2025-07-14,Beta T-shirt,Apparel,203.3,1,203.3,East,Dina,C4172
O100101,2025-03-29,Theta Watch,Electronics,56.64,1,56.64,West,Carlos,C4869
O100102,2025-11-29,Zeta Socks,Accessories,221.15,1,221.15,North,Ehsan,C3324
O100103,2025-11-18,Epsilon Jacket,Apparel,235.31,1,235.31,South,Ayesha,C6795
O100104,2025-01-01,Iota Charger,Electronics,220.9,2,441.8,South,Carlos,C4352
O100105,2025-08-23,Kappa Backpack,Accessories,183.42,3,550.26,Central,Ehsan,C8039
O100106,2024-12-17,Beta T-shirt,Apparel,229.05,1,229.05,Central,Ehsan,C9379
O100107,2025-09-04,Alpha Hoodie,Apparel,43.35,1,43.35,East,Carlos,C4079
O100108,2025-01-12,Zeta Socks,Accessories,213.13,3,639.39,West,Carlos,C1478
